#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
ZG|R0101|33.535198|-116.5923|1470.3|Sage Brush Flats Array R0101|2014-05-06T00:00:00|2014-06-03T23:59:59
ZG|R0102|33.535419|-116.592537|1465.7|Sage Brush Flats Array R0102|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0103|33.535618|-116.592766|1468.3|Sage Brush Flats Array R0103|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0104|33.535851|-116.593002|1469.7|Sage Brush Flats Array R0104|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0105|33.536068|-116.593224|1466.6|Sage Brush Flats Array R0105|2014-05-08T00:00:00|2014-05-23T23:59:59
ZG|R0106|33.536282|-116.59346|1472.0|Sage Brush Flats Array R0106|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0107|33.536461|-116.593704|1468.8|Sage Brush Flats Array R0107|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0108|33.536713|-116.593925|1465.8|Sage Brush Flats Array R0108|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0109|33.536938|-116.594147|1460.4|Sage Brush Flats Array R0109|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0110|33.537144|-116.594398|1457.4|Sage Brush Flats Array R0110|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0111|33.537365|-116.59462|1463.7|Sage Brush Flats Array R0111|2014-05-09T00:00:00|2014-06-03T23:59:59
ZG|R0112|33.537594|-116.594887|1470.1|Sage Brush Flats Array R0112|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0113|33.537807|-116.595093|1471.7|Sage Brush Flats Array R0113|2014-05-08T00:00:00|2014-05-31T23:59:59
ZG|R0114|33.538013|-116.595314|1475.6|Sage Brush Flats Array R0114|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0115|33.538231|-116.595558|1479.0|Sage Brush Flats Array R0115|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0116|33.53846|-116.59581|1474.9|Sage Brush Flats Array R0116|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0117|33.538662|-116.596001|1471.4|Sage Brush Flats Array R0117|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0118|33.538864|-116.59623|1481.7|Sage Brush Flats Array R0118|2014-05-08T00:00:00|2014-05-19T23:59:59
ZG|R0301|33.535305|-116.59211|1465.1|Sage Brush Flats Array R0301|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0302|33.535522|-116.592316|1462.3|Sage Brush Flats Array R0302|2014-05-08T00:00:00|2014-05-31T23:59:59
ZG|R0303|33.535744|-116.59256|1463.1|Sage Brush Flats Array R0303|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0304|33.535938|-116.592789|1467.0|Sage Brush Flats Array R0304|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0305|33.536175|-116.593033|1463.5|Sage Brush Flats Array R0305|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0306|33.536358|-116.593246|1469.8|Sage Brush Flats Array R0306|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0307|33.536636|-116.593491|1463.7|Sage Brush Flats Array R0307|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0308|33.536816|-116.593712|1459.8|Sage Brush Flats Array R0308|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R0309|33.537022|-116.593933|1458.3|Sage Brush Flats Array R0309|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R0310|33.537262|-116.594177|1451.1|Sage Brush Flats Array R0310|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0311|33.537487|-116.594414|1456.9|Sage Brush Flats Array R0311|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0312|33.537685|-116.594627|1460.2|Sage Brush Flats Array R0312|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0313|33.537922|-116.594879|1462.3|Sage Brush Flats Array R0313|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0314|33.53812|-116.595116|1468.5|Sage Brush Flats Array R0314|2014-05-08T00:00:00|2014-06-03T23:59:59
